main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,ids,sp_type,user_specified_id,object_number_id
HD 200140,315.59740701734,-27.044581212739995,0.03,0.0158,90,O,2020yCat.1350....0G,Gaia DR3 6801403699054722688|TIC 29717867|CD-27 15203|CPD-27  7179|GSC 06931-00872|HD 200140|HIC 103826|HIP 103826|PPM 271957|SAO 189954|TYC 6931-872-1|YZ 117 13851|2MASS J21022337-2702405|RAVE J210223.4-270240|Gaia DR1 6801403694756675328|Gaia DR2 6801403694756675328,G2/3V(+F),HIP 103826,11
HD 216254,342.98087520433,-37.19204367096,0.0135,0.0174,90,O,2020yCat.1350....0G,Gaia DR3 6547999730940115840|TIC 215113562|CD-37 14959|CPC 18 11710|CPD-37  9264|GSC 07511-00308|HD 216254|HIC 112910|HIP 112910|PPM 303097|SAO 214145|TYC 7511-308-1|2MASS J22515540-3711313|RAVE J225155.4-371131|Gaia DR2 6547999730940115840|Gaia DR1 6547999730940115840,F6V(+A/F),HIP 112910,12
HD 167711,274.52022029565,-37.10787080299,0.0316,0.0291,90,O,2020yCat.1350....0G,HIP 89679|Gaia DR3 6728194229189980800|TIC 57336853|CD-37 12412|CPC 18  9368|CPD-37  8036|GSC 07405-01341|HD 167711|HIC  89679|PPM 297518|SAO 209968|TYC 7405-1341-1|2MASS J18180484-3706283|Gaia DR2 6728194229189980800,G8/K0III(+G),HIP 89679 ,13
HD  55347,107.76506760709,-35.42780862259,0.0082,0.0096,90,O,2020yCat.1350....0G,HIP 34689|Gaia DR3 5590489312635434368|TIC 97922110|2MASS J07110361-3525400|CD-35  3391|CPC 18  2873|CPD-35  1142|GSC 07098-02255|HD  55347|HIC  34689|PPM 283610|SAO 197666|SRS   7557|TYC 7098-2255-1|Gaia DR1 5590489308337714816|Gaia DR2 5590489312635434368,K1III(+G),HIP 34689 ,14
HD 165293,271.64734566524,-31.65411174135,0.0216,0.0179,90,O,2020yCat.1350....0G,HIP 88709|Gaia DR3 4043087465845764992|TIC 55189182|CD-31 15097|CPC 17  9694|CPD-31  5314|GSC 07391-01682|HD 165293|HIC  88709|PPM 297254|SAO 209719|SRS  14625|TYC 7391-1682-1|2MASS J18063536-3139146|Gaia DR1 4043087461461002624|Gaia DR2 4043087465845764992,G8II/III(+F),HIP 88709 ,15
HD   5834,14.972886179970004,-5.1840449199,0.0438,0.0251,90,O,2020yCat.1350....0G,HIP 4661|Gaia DR3 2525120988258735616|TIC 423386059|2MASS J00595349-0511026|BD-05   168|GSC 04680-00813|HD   5834|HIC   4661|PPM 182912|SAO 129071|SRS   3501|TYC 4680-813-1|YZ   0  3827|YZ  95   204|uvby98 100005834|Gaia DR1 2525120983963036672|GEN# +1.00005834|Gaia DR2 2525120988258735616,K0III(+G),HIP 4661  ,16
V* V761 Mon,111.53973398415,-10.549078966780002,0.0172,0.0171,90,O,2020yCat.1350....0G,HIP 36093|Gaia DR3 3035272324603561472|TIC 5581607|BD-10  2038|GSC 05400-01945|HD  58645|HIC  36093|PPM 218642|SAO 152864|SRS   7715|TD1 10102|TYC 5400-1945-1|V* V761 Mon|YZC 11  2608|2MASS J07260954-1032566|Gaia DR1 3035272320299494784|Gaia DR2 3035272324603561472,B5V(+A),HIP 36093 ,17
HD   3315,9.00480699165,-31.403331458660002,0.0197,0.0149,90,O,2020yCat.1350....0G,HIP 2842|Gaia DR3 2317325316517594752|TIC 251859424|2MASS J00360114-3124120|CD-32   199|CPC 17   213|CPD-32    58|GSC 06998-00141|HD   3315|HIC   2842|PPM 276192|SAO 192627|TYC 6998-141-1|Gaia DR1 2317325312222067840|Gaia DR2 2317325316517594752,F7/8V(+A/F),HIP 2842  ,18
HD  56335,109.02510917094,-14.115065949370003,0.0152,0.0152,90,O,2020yCat.1350....0G,HIP 35165|Gaia DR3 3032321682073209600|TIC 295821488|2MASS J07160602-1406543|BD-13  1906|GSC 05406-01877|HD  56335|HIC  35165|PPM 218407|SAO 152635|SRS   7606|TYC 5406-1877-1|YZ 104  2562|YZ   0  5292|Gaia DR1 3032321677766695168|Gaia DR2 3032321682073209600,K1/2III(+G),HIP 35165 ,19
HD 174172,282.66051169235,-34.36761756129,0.0167,0.0158,90,O,2020yCat.1350....0G,HIP 92465|Gaia DR3 6732316500101830528|TIC 276073173|CD-34 13150|CPC 17 10214|CPD-34  8109|GSC 07416-00873|HD 174172|HIC  92465|PPM 298219|SAO 210623|SRS  15101|TYC 7416-873-1|2MASS J18503852-3422033|Gaia DR2 6732316500101830528,K1III(+G),HIP 92465 ,20
HD 189966,300.89760670173,-24.57798828218,0.0164,0.0111,90,O,2020yCat.1350....0G,HIP 98765|Gaia DR3 6851664986900482048|TIC 301145038|CD-24 15776|CPD-24  6893|GSC 06896-00252|HD 189966|HIC  98765|PPM 270624|SAO 188859|TYC 6896-252-1|YZ 114 13959|2MASS J20033542-2434406|RAVE J200335.4-243441|Gaia DR2 6851664986900482048,A7IV(+F/G),HIP 98765 ,21
HD 149527,249.03950949076,-20.71560295768,0.0162,0.0099,90,O,2020yCat.1350....0G,HIP 81287|Gaia DR3 4130175761704907776|TIC 73357222|BD-20  4523|CPD-20  6358|GSC 06228-00349|HD 149527|HIC  81287|PPM 265706|TYC 6228-349-1|2MASS J16360948-2042562|Gaia DR1 4130175757404683904|Gaia DR2 4130175761704907776,G6V(+F),HIP 81287 ,22
HD  96330,166.55262606076,-13.063776246220002,0.0917,0.0833,90,O,2020yCat.1350....0G,HIP 54278|Gaia DR3 3564288600404201472|TIC 287097862|BD-12  3343|GSC 05507-00134|HD  96330|HIC  54278|PPM 223927|SAO 156457|TYC 5507-134-1|YZC 11  4184|2MASS J11061263-1303494|Gaia DR1 3564288596108406144|Gaia DR2 3564288600404201472,G5/8III/IV(+F),HIP 54278 ,23
HD 106904,184.45505589071996,-50.02521735024,0.0118,0.0119,90,O,2020yCat.1350....0G,HIP 59954|Gaia DR3 6126714467717540224|TIC 334790026|CD-49  6973|CPC  0 10249|CPD-49  5047|GSC 08238-00166|HD 106904|HIC  59954|PPM 340854|SAO 223339|TYC 8238-166-1|uvby98 100106904|2MASS J12174921-5001307|GEN# +1.00106904|Gaia DR2 6126714467717540224,G8III(+F)p,HIP 59954 ,24
HD  52945,105.51459046799,-26.567871684649997,0.0168,0.0229,90,O,2020yCat.1350....0G,HIP 33888|Gaia DR3 5610840620033739136|TIC 63581608|2MASS J07020349-2634043|CD-26  3745|CPD-26  1656|GSC 06531-03322|HD  52945|HIC  33888|PPM 251482|SAO 172807|TD1  8926|TYC 6531-3322-1|YZ 116  4344|EQ 070002-2629|Gaia DR1 5610840615734205952|Gaia DR2 5610840620033739136,B9V(+B3/5),HIP 33888 ,25
